City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Prince Rupert,CA,54.3161,-130.3201,44.29,71,100,29.93,light rain
1,Rongelap,MH,11.1635,166.8941,81.68,78,100,20.76,light rain
2,Margaret River,AU,-33.95,115.0667,57.07,57,0,14.9,clear sky
3,Susuman,RU,62.7833,148.1667,1.98,97,100,1.99,overcast clouds
4,Saipan,MP,15.1355,145.701,81.3,83,40,13.8,scattered clouds
5,Praia da Vitória,PT,38.7333,-27.0667,66.45,82,75,24.43,light rain
6,Huaraz,PE,-9.5333,-77.5333,67.6,49,47,4.92,light rain
7,Grytviken,GS,-54.2811,-36.5092,35.38,81,9,9.31,clear sky
8,Iqaluit,CA,63.7506,-68.5145,19.13,79,100,13.8,light snow
9,College,US,64.8569,-147.8028,-19.91,72,0,0.0,haze
10,Acaraú,BR,-2.8856,-40.12,88.7,61,42,22.7,scattered clouds
11,Ometepec,MX,16.6833,-98.4167,83.66,51,100,1.41,overcast clouds
12,Isafjordur,IS,66.0755,-23.124,24.84,80,20,3.44,few clouds
13,Waitangi,NZ,-43.9535,-176.5597,56.82,87,71,13.0,broken clouds
14,Talnakh,RU,69.4865,88.3972,-25.8,96,95,7.4,overcast clouds
15,St. John's,CA,47.5649,-52.7093,37.98,92,100,31.07,light rain
16,Avarua,CK,-21.2078,-159.775,75.25,88,75,18.41,broken clouds
17,Port-aux-Français,TF,-49.35,70.2167,38.28,77,67,26.06,broken clouds
18,Mount Isa,AU,-20.7333,139.5,82.17,51,3,6.91,light rain
19,Edinburgh of the Seven Seas,SH,-37.0676,-12.3116,59.11,94,99,15.73,light rain
20,Xianning,CN,29.8833,114.2167,64.04,68,99,6.02,overcast clouds
21,Miyako,JP,39.6367,141.9525,53.13,81,66,2.59,broken clouds
22,Businga,CD,3.3333,20.8833,77.54,75,70,2.95,broken clouds
23,Badger,US,64.8,-147.5333,-20.0,76,100,0.0,haze
24,Lincheng,CN,19.9078,109.6858,71.94,86,66,3.44,broken clouds
25,Ilulissat,GL,69.2167,-51.1,10.42,72,75,4.61,broken clouds
26,Puerto Natales,CL,-51.7236,-72.4875,55.85,54,75,11.5,broken clouds
27,Kushmurun,KZ,52.4503,64.6311,-20.2,96,12,1.61,few clouds
28,Port Elizabeth,ZA,-33.918,25.5701,61.11,94,100,4.61,light rain
29,Adamstown,PN,-25.066,-130.1015,71.42,84,100,15.14,light rain
30,Uturoa,PF,-16.7333,-151.4333,80.94,80,99,15.52,moderate rain
31,Sabha,LY,27.0377,14.4283,60.85,40,78,15.79,broken clouds
32,Chibougamau,CA,49.9168,-74.3659,22.62,86,100,6.91,overcast clouds
33,Happy Valley-Goose Bay,CA,53.3168,-60.3315,25.11,54,0,10.36,clear sky
34,Ar Ruways,AE,24.1103,52.7306,73.45,70,4,5.12,clear sky
35,Kolonia Town,FM,6.964,158.206,82.4,78,75,4.61,moderate rain
36,Klyuchi,RU,52.2667,79.1667,-4.95,77,79,2.04,broken clouds
37,Port Mathurin,MU,-19.6833,63.4167,79.59,76,85,10.51,overcast clouds
38,Yellowknife,CA,62.456,-114.3525,12.72,92,100,17.27,light snow
39,Longyearbyen,SJ,78.2186,15.6401,24.64,93,100,11.5,light snow
40,Knyaze-Volkonskoye,RU,48.4642,135.4567,1.0,83,7,15.99,clear sky
41,Cromwell,US,41.5951,-72.6454,55.42,83,100,3.44,overcast clouds
42,Tevriz,RU,57.509,72.4042,-11.25,99,99,3.58,overcast clouds
43,Hasaki,JP,35.7333,140.8333,45.0,60,100,4.92,overcast clouds
44,Blackmans Bay,AU,-43.0167,147.3167,44.73,82,49,1.99,scattered clouds
45,Dakhla,EH,23.6848,-15.958,71.62,73,0,18.41,clear sky
46,Kharp,RU,66.8014,65.8081,-9.8,94,88,6.29,overcast clouds
47,Albany,US,42.6001,-73.9662,49.95,82,98,5.99,overcast clouds
48,West Island,CC,-12.1568,96.8225,80.58,83,40,14.97,scattered clouds
49,Jamestown,US,42.097,-79.2353,56.79,49,100,16.11,overcast clouds
50,Dudinka,RU,69.4058,86.1778,-25.33,96,98,3.0,overcast clouds
51,Portland,US,45.5234,-122.6762,43.11,86,100,13.8,overcast clouds
52,Buta,CD,2.7858,24.73,77.38,66,13,1.54,few clouds
53,Nuku'alofa,TO,-21.1333,-175.2,77.34,83,75,10.36,moderate rain
54,Poconé,BR,-16.2567,-56.6228,106.9,25,77,0.72,broken clouds
55,Ribeira Grande,PT,38.5167,-28.7,68.4,88,20,18.99,few clouds
56,Ust-Nera,RU,64.5667,143.2,-1.53,98,100,5.03,overcast clouds
57,Lā‘ie,US,21.6477,-157.9253,71.56,76,0,4.81,clear sky
58,Stanley,GB,54.868,-1.6985,46.71,94,40,5.75,scattered clouds
59,Kerikeri,NZ,-35.2268,173.9474,51.91,90,50,3.87,scattered clouds
60,Ixtapa,MX,20.7,-105.2,81.23,61,0,8.05,clear sky
61,Markovo,RU,57.3206,107.0881,-30.35,99,80,2.75,broken clouds
62,Beihai,CN,21.4833,109.1,72.5,83,8,4.43,clear sky
63,Erwin,US,36.1451,-82.4168,59.85,74,80,4.88,light rain
64,Saint-Marc,HT,19.1082,-72.6938,86.49,52,81,1.16,broken clouds
65,Northam,GB,51.0333,-4.2167,52.61,80,72,29.33,broken clouds
66,Paphos,CY,34.7667,32.4167,62.38,59,40,10.36,scattered clouds
67,Tura,IN,25.5198,90.2201,60.24,83,1,2.35,clear sky
68,Pisco,PE,-13.7,-76.2167,71.65,73,48,8.05,haze
69,Mount Gambier,AU,-37.8333,140.7667,54.32,62,100,10.65,light rain
70,Caldiero,IT,45.4144,11.1774,45.5,87,76,2.53,broken clouds
71,Pierre,US,44.3683,-100.351,34.86,66,0,27.63,clear sky
72,Byaroza,BY,52.5314,24.9786,24.01,96,100,8.86,overcast clouds
73,Bethel,US,41.3712,-73.414,54.48,82,100,0.0,haze
74,Ushuaia,AR,-54.8,-68.3,56.86,51,75,5.75,broken clouds
75,Gargaliánoi,GR,37.0667,21.6333,49.35,56,98,2.64,overcast clouds
76,Invercargill,NZ,-46.4,168.35,49.21,71,73,16.35,broken clouds
77,Nuuk,GL,64.1835,-51.7216,30.81,86,75,1.14,broken clouds
78,Cologne,DE,50.9333,6.95,48.88,90,75,17.27,light intensity drizzle rain
79,Papatowai,NZ,-46.5619,169.4708,49.14,69,67,18.5,broken clouds
80,Aasiaat,GL,68.7098,-52.8699,8.4,82,100,2.64,overcast clouds
81,George Town,MY,5.4112,100.3354,84.15,79,20,3.44,few clouds
82,Pakuranga,NZ,-36.8833,174.9167,59.2,77,89,3.44,overcast clouds
83,Hadibu,YE,12.65,54.0333,77.05,73,57,13.18,broken clouds
84,Punta Arenas,CL,-53.15,-70.9167,55.51,54,75,12.66,broken clouds
85,Castillos,UY,-34.1667,-53.8333,68.86,55,65,12.86,broken clouds
86,Bredasdorp,ZA,-34.5322,20.0403,64.31,62,4,9.84,clear sky
87,Jangipur,IN,24.4667,88.0667,68.47,53,1,5.46,clear sky
88,Bilibino,RU,68.0546,166.4372,2.21,98,100,1.36,light snow
89,Hamilton,US,39.1834,-84.5333,59.9,89,100,12.66,heavy intensity rain
90,Kapaa,US,22.0752,-159.319,71.58,89,100,4.61,overcast clouds
91,Lorengau,PG,-2.0226,147.2712,81.84,81,100,12.3,moderate rain
92,Sitka,US,57.0531,-135.33,42.69,61,100,8.05,light rain
93,Kalmunai,LK,7.4167,81.8167,78.21,89,41,7.34,scattered clouds
94,Keflavik,IS,64.0049,-22.5624,32.43,86,0,9.22,clear sky
95,Thunder Bay,CA,48.4001,-89.3168,35.58,100,100,3.44,mist
96,Kingscliff,AU,-28.2667,153.5667,73.2,78,61,9.22,broken clouds
97,Anadyr,RU,64.75,177.4833,-14.3,76,0,11.18,clear sky
98,Thompson,CA,55.7435,-97.8558,14.16,92,75,5.75,light snow
99,Labrador City,CA,52.9463,-66.9114,-0.49,78,75,2.3,broken clouds
100,Tazovsky,RU,67.4667,78.7,-36.47,100,79,3.62,broken clouds
101,Saint Paul Harbor,US,57.79,-152.4072,22.51,80,100,6.91,overcast clouds
102,Severo-Yeniseyskiy,RU,60.3725,93.0408,-29.87,100,95,2.64,overcast clouds
103,Taltal,CL,-25.4,-70.4833,69.3,67,23,8.19,few clouds
104,Al Ghayzah,YE,16.2079,52.176,76.86,59,20,8.68,few clouds
105,Arteche,PH,12.2645,125.4048,79.18,87,32,7.09,scattered clouds
106,Tahe,CN,52.3333,124.7333,-13.45,73,76,10.51,broken clouds
107,Huancavelica,PE,-12.7667,-74.9833,51.69,53,74,8.77,broken clouds
108,Montevideo,UY,-34.8335,-56.1674,73.11,56,75,11.5,broken clouds
109,Shenjiamen,CN,29.9576,122.298,63.39,92,95,7.31,overcast clouds
110,Umluj,SA,25.0213,37.2685,77.47,64,2,6.82,clear sky
111,Hithadhoo,MV,-0.6,73.0833,81.32,78,97,4.65,moderate rain
112,Lusaka,ZM,-15.4067,28.2871,84.92,24,53,7.43,broken clouds
113,Nicoya,CR,10.1483,-85.452,86.16,64,14,8.86,few clouds
114,Sergeevka,KZ,53.88,67.4158,-20.34,99,78,5.53,broken clouds
115,Doka,SD,13.5167,35.7667,81.93,19,99,7.34,overcast clouds
116,Papao,PF,-17.75,-149.55,78.48,84,100,18.23,moderate rain
117,Warrnambool,AU,-38.3833,142.4833,55.31,65,100,20.15,overcast clouds
118,Plettenberg Bay,ZA,-34.0527,23.3716,58.95,86,93,2.04,overcast clouds
119,Vadsø,NO,70.0744,29.7487,10.56,85,75,23.02,broken clouds
120,Leteri,IN,24.05,77.4,63.07,58,2,5.82,clear sky
121,Iskateley,RU,67.6803,53.1512,-16.98,92,16,5.99,few clouds
122,Tadine,NC,-21.55,167.8833,74.44,62,93,17.96,overcast clouds
123,Hawaiian Paradise Park,US,19.5933,-154.9731,69.03,87,20,5.75,few clouds
124,Coari,BR,-4.085,-63.1414,83.34,72,100,3.56,overcast clouds
125,Myeik,MM,12.4333,98.6,79.92,82,23,3.69,few clouds
126,Arrondissement de Thiers,FR,45.8333,3.5,55.72,84,99,13.11,light rain
127,Tazacorte,ES,28.629,-17.9293,74.37,64,0,10.36,clear sky
128,Jayapura,ID,-2.5333,140.7,78.19,91,100,8.9,light rain
129,Les Avirons,RE,-21.2418,55.3394,77.09,83,0,16.11,clear sky
130,Arraial do Cabo,BR,-22.9661,-42.0278,78.66,69,100,12.66,overcast clouds
131,Saldanha,ZA,-33.0117,17.9442,73.45,71,0,30.71,clear sky
132,Naryan-Mar,RU,67.6713,53.087,-16.89,92,15,5.99,few clouds
133,Kupang,ID,-10.1667,123.5833,81.18,94,99,0.0,overcast clouds
134,Revelstoke,CA,50.9832,-118.2023,30.22,80,75,3.44,broken clouds
135,Weno,FM,7.4515,151.8468,80.55,89,100,11.5,moderate rain
136,Kashgar,CN,39.4547,75.9797,43.81,36,75,6.71,broken clouds
137,Timmins,CA,48.4669,-81.3331,37.22,93,100,9.22,mist
138,Kristiansund,NO,63.1115,7.732,36.25,60,0,10.36,clear sky
139,Mugia,ES,43.1041,-9.2179,63.16,96,100,8.59,overcast clouds
140,Lázaro Cárdenas,MX,17.9583,-102.2,84.13,56,82,0.65,broken clouds
141,Vila Franca do Campo,PT,37.7167,-25.4333,68.41,99,97,17.98,overcast clouds
